y_test,predicted_price
368888.0,348985.29333333333
830000.0,846143.88
280000.0,297604.9733333333
602500.0,639273.32
615000.0,632264.44
663888.0,688104.4133333334
342500.0,313081.25
615000.0,631533.88
425000.0,437735.0
655888.0,613266.26
330000.0,348079.44
543000.0,593097.76
292000.0,322806.32666666666
270000.0,274033.06
225888.0,231222.44
630000.0,677673.88
435000.0,455890.44
432000.0,434507.5
432000.0,374586.64
635000.0,663181.28
498000.0,451385.495
720000.0,664393.72
405000.0,406399.995
770000.0,776542.32
608000.0,575304.02
402000.0,441563.28
343000.0,358768.33333333326
470000.0,463853.0
642000.0,569512.26
282000.0,289854.0
528888.0,527889.14
340000.0,364538.32
670000.0,656462.7733333333
515000.0,482773.89
545000.0,512426.96
350000.0,395010.0
455000.0,452465.82
290000.0,263616.32166666666
380000.0,369385.0
399000.0,410431.64
270000.0,258133.02
400000.0,379269.31
540000.0,567994.44
290000.0,270223.0
708888.0,737841.685
695000.0,680920.0
395000.0,416955.26
390000.0,451124.0
405000.0,417080.6
420000.0,427839.39
520000.0,486689.67
553000.0,530772.415
603000.0,604829.7
747000.0,741094.92
285000.0,273795.83999999997
735000.0,723557.26
400000.0,414775.0
460000.0,505287.32
438000.0,438630.82
655000.0,669124.44
260000.0,265647.46
260000.0,241059.26
280000.0,279193.6309523809
415000.0,437999.96
766000.0,756182.76
350000.0,346815.5533333333
375000.0,382118.32
440000.0,403247.76
395000.0,406336.02200000006
328000.0,314594.44
755000.0,730857.76
885000.0,848540.84
550000.0,576842.52
632000.0,514170.6
365000.0,391026.3
325000.0,356618.88
380000.0,365584.04761904763
430000.0,430861.6533333334
395000.0,370613.84
392000.0,383257.76
402000.0,360809.44
305000.0,299850.0
380000.0,421385.64
715000.0,767045.3466666666
577000.0,565855.0
528000.0,565255.0
430000.0,379474.44
316000.0,331994.48
600000.0,594171.9
439000.0,477679.44
450000.0,462769.0
240000.0,208764.0
280000.0,265558.32
685000.0,643249.52
270000.0,284091.61333333334
272000.0,254567.6
390000.0,341478.2666666667
405000.0,416180.64
540000.0,525895.0
418500.0,381973.88
365000.0,391297.88
345000.0,342719.44
385000.0,378172.9166666666
340000.0,344566.4
238000.0,240500.0
500000.0,531031.64
386000.0,361862.76
395000.0,395347.76
412888.0,369354.36
270000.0,259410.9261904762
300000.0,329778.02
420000.0,438426.64
328000.0,357803.32
456888.0,459636.08
330000.0,303233.2133333333
588000.0,661217.08
428000.0,456437.54
345000.0,339541.7
420000.0,409015.0
345000.0,359701.26
442888.0,428489.53
313000.0,293602.18
470000.0,459961.86857142864
890000.0,826142.76
460000.0,459487.44
778000.0,856458.88
330000.0,314924.1666666667
415000.0,396404.66
575000.0,574672.94
530000.0,488963.88
275000.0,288755.0
625000.0,658858.28
580000.0,455088.58
324000.0,336343.88
433000.0,445794.7
600000.0,604967.44
390000.0,387329.44
503000.0,555845.0
888000.0,868175.1333333334
282000.0,283945.58952380955
470000.0,435151.54
305000.0,262460.0
305000.0,309616.6666666666
428000.0,424427.68
270000.0,258688.49999999997
250000.0,249725.0
