resale_price,predicted_price
300000.0,375098.4211437403
420000.0,501607.4677336721
328000.0,337235.41657104343
456888.0,491462.87027062837
330000.0,274111.2299310453
588000.0,634464.3062282101
428000.0,508771.44718519715
345000.0,403400.506571608
420000.0,413158.8300265062
345000.0,426254.34604375984
442888.0,490235.87080276164
313000.0,257481.85133233655
470000.0,534603.349715112
890000.0,822488.7824989085
460000.0,504248.91972937086
778000.0,777704.9856848156
330000.0,347486.2510462983
415000.0,393550.87009300094
575000.0,550142.4711420172
530000.0,479649.68837973627
275000.0,249595.69372938748
625000.0,649556.9962532639
580000.0,534017.2730714545
324000.0,348973.5966838369
433000.0,484887.6546093504
600000.0,628507.9663540134
390000.0,415544.8571738367
503000.0,609389.0108164534
888000.0,817523.221072363
282000.0,332301.4361969774
470000.0,485778.45530513907
305000.0,202252.72925363586
305000.0,286445.554403492
428000.0,430514.87560369365
270000.0,201575.87954378
250000.0,302300.58015123766
460000.0,451068.23441127595
360000.0,397978.92776954325
374000.0,432866.5577173594
415000.0,427200.213124797
262000.0,238980.2158014594
520000.0,611773.4055230303
485000.0,551461.532871474
400000.0,474512.0847635373
357500.0,322682.5205621476
300000.0,202186.60682048358
430000.0,448764.58317155787
370000.0,399962.19690748304
475000.0,501146.50713823666
378000.0,412590.26835460996
424000.0,448016.511144541
290000.0,246865.1389490486
620000.0,549738.008664093
418888.0,522401.98704603605
415000.0,505146.53213052754
880000.0,664833.1795920176
725000.0,678724.9532168927
337000.0,440778.78261350153
345000.0,417158.2667324655
330000.0,365622.52810479724
431000.0,377286.0560477844
500000.0,480593.19574507105
250000.0,137708.06577878614
580000.0,705243.8659487173
337000.0,295856.79616290005
378000.0,341461.90971175896
368000.0,333289.23921160854
524000.0,586031.1911302872
465000.0,525100.3991520907
615000.0,605172.2425262927
785000.0,712635.9405507612
522000.0,552036.3523548171
630000.0,727766.7147927345
635000.0,581771.1502572945
430000.0,574523.4137787906
410000.0,345545.20994516986
415000.0,488955.8751013876
545000.0,517757.4964213611
645000.0,648056.2987419034
705000.0,710983.0633325845
338000.0,360357.7373370024
460000.0,462996.48909793445
518000.0,590228.6458492827
415888.0,406169.90782041743
840000.0,747589.8904746373
269000.0,386243.7122421829
568000.0,669071.2240673493
310000.0,270086.9769521989
750000.0,636126.1572888878
318000.0,388247.7426363188
438000.0,561284.5956396171
358000.0,319880.0528002565
288000.0,252545.5524888842
720000.0,761915.0765004032
508000.0,507889.9996323667
804888.0,837483.501200665
405000.0,536331.4493165922
618888.0,546997.6934730893
465000.0,458964.9454140236
838000.0,791766.6714415841
480000.0,421027.2199103184
370000.0,359042.31301847147
545000.0,453569.8245138839
405000.0,471214.55516199756
608000.0,519524.5622933641
632000.0,628069.4624380108
280000.0,245586.6875746114
440000.0,468165.7096345938
490000.0,531603.991041406
273000.0,320760.8735168633
295000.0,242302.2543276043
461000.0,481174.6864952118
380000.0,375485.4415779145
460000.0,480430.5703903993
490000.0,463264.0061345099
490000.0,530054.24232946
325000.0,359363.72190166067
378000.0,318907.4526083297
413888.0,480544.1167384407
528000.0,527148.8497051939
410000.0,464589.3461129593
322000.0,374327.99427380343
715000.0,622002.4054060145
488000.0,515962.2235755037
550000.0,600272.0777284588
473000.0,485886.5250749097
438000.0,421762.2202239258
840000.0,756937.9109996569
648000.0,672310.2796772433
452000.0,499604.17735363473
250000.0,219979.8550656949
515000.0,547629.4595586278
330000.0,320113.60943805496
225000.0,192320.10764122108
390000.0,339050.31052080763
430000.0,371231.4695062111
203000.0,305452.3886538582
316000.0,303324.85444714397
555000.0,656418.3469993954
378000.0,322208.5493071972
330000.0,391739.280844421
