0,1,2
SUNSET CLOSE,CLEMENTI TOWN SECONDARY SCHOOL,1.0392172819080838 km
SUNSET VALE,CLEMENTI TOWN SECONDARY SCHOOL,1.6236217071950338 km
HONG SAN WALK,CHUA CHU KANG SECONDARY SCHOOL,0.7570175985456049 km
CHOA CHU KANG AVENUE 1,BUKIT PANJANG GOVT. HIGH SCHOOL,0.7276494496481398 km
KANG CHOO BIN ROAD,XINMIN SECONDARY SCHOOL,0.7013527697908453 km
TANAH MERAH KECHIL AVENUE,ANGLICAN HIGH SCHOOL,0.3812911441827862 km
LEEDON HEIGHTS,ST. MARGARET'S SECONDARY SCHOOL,0.9712290842500915 km
CORONATION ROAD,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1.7556032270638202 km
DUCHESS AVENUE,HWA CHONG INSTITUTION,0.35595390077353484 km
DUBLIN ROAD,"SCHOOL OF THE ARTS, SINGAPORE",0.92336807350381 km
TREVOSE CRESCENT,SINGAPORE CHINESE GIRLS' SCHOOL,0.7417979854455362 km
BERRIMA ROAD,SINGAPORE CHINESE GIRLS' SCHOOL,0.5268189251669798 km
SWANAGE ROAD,TANJONG KATONG SECONDARY SCHOOL,0.42124149905305075 km
KHEAM HOCK ROAD,SINGAPORE CHINESE GIRLS' SCHOOL,0.8363658672815283 km
MERRYN ROAD,SINGAPORE CHINESE GIRLS' SCHOOL,0.9595233249276044 km
SENNETT LANE,TEMASEK JUNIOR COLLEGE,0.40356748838429146 km
SENNETT ROAD,CEDAR GIRLS' SECONDARY SCHOOL,0.4433570030965022 km
PASIR PANJANG DRIVE,KENT RIDGE SECONDARY SCHOOL,1.176592204136604 km
SENNETT PLACE,TEMASEK JUNIOR COLLEGE,0.3135858639499277 km
TUA KONG WALK,TANJONG KATONG GIRLS' SCHOOL,0.5959324386152779 km
EASTWOOD GREEN,BEDOK SOUTH SECONDARY SCHOOL,0.6288992147085011 km
EASTWOOD WAY,BEDOK SOUTH SECONDARY SCHOOL,0.7571752273944803 km
EASTWOOD DRIVE,BEDOK SOUTH SECONDARY SCHOOL,0.6092150140038595 km
JALAN NOVENA UTARA,ANGLO-CHINESE SCHOOL (BARKER ROAD),0.7868462033360327 km
JALAN NOVENA TIMOR,ANGLO-CHINESE SCHOOL (BARKER ROAD),0.8686427973770876 km
JALAN NOVENA SELATAN,ANGLO-CHINESE SCHOOL (BARKER ROAD),0.9000948852664299 km
JALAN LIM TAI SEE,NANYANG GIRLS' HIGH SCHOOL,1.3362248017217047 km
EWART PARK,METHODIST GIRLS' SCHOOL (SECONDARY),1.105166902196067 km
BEGONIA DRIVE,PEI HWA SECONDARY SCHOOL,1.5194199242012665 km
FLORENCE CLOSE,YUYING SECONDARY SCHOOL,0.649099036668569 km
FLORENCE ROAD,YUYING SECONDARY SCHOOL,0.6919599536894763 km
