,licensee_name,address
237,NTUC Fairprice Co-operative Ltd,71 WOODLANDS AVENUE 3
238,SHENG SIONG SUPERMARKET PTE LTD,6A WOODLANDS CENTRE ROAD
239,COLD STORAGE SINGAPORE (1983) PTE LTD,70 WOODLANDS AVENUE 7
240,NTUC Fairprice Co-operative Ltd,900 SOUTH WOODLANDS DRIVE
242,PRIME SUPERMARKET LIMITED?,678 WOODLANDS AVENUE 6
243,COLD STORAGE SINGAPORE (1983) PTE LTD,883 WOODLANDS STREET 82
244,COLD STORAGE SINGAPORE (1983) PTE LTD,548 WOODLANDS DRIVE 44
245,NTUC Fairprice Co-operative Ltd,570B WOODLANDS AVENUE 1
247,SHENG SIONG SUPERMARKET PTE LTD,200 WOODLANDS INDUSTRIAL PARK E7
248,COLD STORAGE SINGAPORE (1983) PTE LTD,604 SEMBAWANG ROAD
249,NTUC Fairprice Co-operative Ltd,511 CANBERRA ROAD
250,COLD STORAGE SINGAPORE (1983) PTE LTD,768 WOODLANDS AVENUE 6
257,COLD STORAGE SINGAPORE (1983) PTE LTD,468B ADMIRALTY DRIVE
261,COLD STORAGE SINGAPORE (1983) PTE LTD,406A SEMBAWANG DRIVE
262,COLD STORAGE SINGAPORE (1983) PTE LTD,102 YISHUN AVENUE 5
263,PRIME SUPERMARKET (1996) PTE LTD,761 YISHUN STREET 72
264,SHENG SIONG SUPERMARKET PTE LTD,925 YISHUN CENTRAL 1
265,NTUC Fairprice Co-operative Ltd,301 YISHUN AVENUE 2
266,COLD STORAGE SINGAPORE (1983) PTE LTD,930 YISHUN AVENUE 2
267,NTUC Fairprice Co-operative Ltd,239 YISHUN RING ROAD
268,COLD STORAGE SINGAPORE (1983) PTE LTD,293 YISHUN STREET 22
269,COLD STORAGE SINGAPORE (1983) PTE LTD,291 YISHUN STREET 22
271,COLD STORAGE SINGAPORE (1983) PTE LTD,200 TURF CLUB ROAD
272,COLD STORAGE SINGAPORE (1983) PTE LTD,41 SUNSET WAY
273,COLD STORAGE SINGAPORE (1983) PTE LTD,896 DUNEARN ROAD
274,COLD STORAGE SINGAPORE (1983) PTE LTD,20 GREENWOOD AVENUE
283,NTUC Fairprice Co-operative Ltd,21 CHOA CHU KANG NORTH 6
285,NTUC Fairprice Co-operative Ltd,533 CHOA CHU KANG STREET 51
286,NTUC Fairprice Co-operative Ltd,849 YISHUN RING ROAD
287,NTUC Fairprice Co-operative Ltd,1 ORCHID CLUB ROAD
288,SHENG SIONG SUPERMARKET PTE LTD,845 YISHUN STREET 81
289,COLD STORAGE SINGAPORE (1983) PTE LTD,201 YISHUN AVENUE 2
291,COLD STORAGE SINGAPORE (1983) PTE LTD,418 YISHUN AVENUE 11
292,NTUC Fairprice Co-operative Ltd,414 YISHUN RING ROAD
293,NTUC Fairprice Co-operative Ltd,355 SEMBAWANG WAY
294,NTUC Fairprice Co-operative Ltd,30 SEMBAWANG DRIVE
297,COLD STORAGE SINGAPORE (1983) PTE LTD,161 ANG MO KIO AVENUE 4
298,COLD STORAGE SINGAPORE (1983) PTE LTD,16 JALAN KURAS
299,NTUC Fairprice Co-operative Ltd,2 JOO CHIAT ROAD
300,NTUC Fairprice Co-operative Ltd,110 LENGKONG TIGA
301,PRIME SUPERMARKET LIMITED?,25A CHAI CHEE ROAD
304,PRIME SUPERMARKET (1996) PTE LTD,18 BEDOK SOUTH ROAD
305,NTUC Fairprice Co-operative Ltd,57 NEW UPPER CHANGI ROAD
307,NTUC Fairprice Co-operative Ltd,311 NEW UPPER CHANGI ROAD
308,SHENG SIONG SUPERMARKET PTE LTD,209 NEW UPPER CHANGI ROAD
309,NTUC Fairprice Co-operative Ltd,212 BEDOK NORTH STREET 1
310,COLD STORAGE SINGAPORE (1983) PTE LTD,20 EASTWOOD ROAD
311,NTUC Fairprice Co-operative Ltd,8 CHANGI BUSINESS PARK AVENUE 1
313,NTUC Fairprice Co-operative Ltd,60 AIRPORT BOULEVARD
314,NTUC Fairprice Co-operative Ltd,65 AIRPORT BOULEVARD
316,SHENG SIONG SUPERMARKET PTE LTD,115 BEDOK NORTH ROAD
317,COLD STORAGE SINGAPORE (1983) PTE LTD,430 UPPER CHANGI ROAD
318,COLD STORAGE SINGAPORE (1983) PTE LTD,348 BEDOK ROAD
319,NTUC Fairprice Co-operative Ltd,89 BEDOK NORTH STREET 4
321,NTUC Fairprice Co-operative Ltd,3 SIMEI STREET 6
322,NTUC Fairprice Co-operative Ltd,10 EUNOS ROAD 8
323,COLD STORAGE SINGAPORE (1983) PTE LTD,60 PAYA LEBAR ROAD
324,NTUC Fairprice Co-operative Ltd,5 EUNOS CRESCENT
325,COLD STORAGE SINGAPORE (1983) PTE LTD,11 TANJONG KATONG ROAD
327,NTUC Fairprice Co-operative Ltd,620 GEYLANG ROAD
328,COLD STORAGE SINGAPORE (1983) PTE LTD,845 GEYLANG ROAD
329,I-TEC SUPERMART PTE LTD,500 GEYLANG ROAD
331,NTUC Fairprice Co-operative Ltd,1 STADIUM PLACE
332,COLD STORAGE SINGAPORE (1983) PTE LTD,5 STADIUM WALK
333,NTUC Fairprice Co-operative Ltd,401 MACPHERSON ROAD
334,PRIME SUPERMARKET LIMITED?,1 UPPER ALJUNIED LANE
338,COLD STORAGE SINGAPORE (1983) PTE LTD,306 UBI AVENUE 1
340,COLD STORAGE SINGAPORE (1983) PTE LTD,266 SERANGOON CENTRAL DRIVE
342,NTUC Fairprice Co-operative Ltd,23 SERANGOON CENTRAL
343,COLD STORAGE SINGAPORE (1983) PTE LTD,23 SERANGOON CENTRAL
344,NTUC Fairprice Co-operative Ltd,41 JALAN TIGA
348,NTUC Fairprice Co-operative Ltd,114 ALJUNIED AVENUE 2
349,SHENG SIONG SUPERMARKET PTE LTD,118 ALJUNIED AVENUE 2
350,SHENG SIONG SUPERMARKET PTE LTD,18B CIRCUIT ROAD
351,NTUC Fairprice Co-operative Ltd,77 CIRCUIT ROAD
352,COLD STORAGE SINGAPORE (1983) PTE LTD,2 FIRST STREET
353,NTUC Fairprice Co-operative Ltd,934 EAST COAST ROAD
354,COLD STORAGE SINGAPORE (1983) PTE LTD,15 SIGLAP ROAD
356,NTUC Fairprice Co-operative Ltd,30 EAST COAST ROAD
357,COLD STORAGE SINGAPORE (1983) PTE LTD,80 MARINE PARADE ROAD
358,COLD STORAGE SINGAPORE (1983) PTE LTD,80 MARINE PARADE ROAD
359,COLD STORAGE SINGAPORE (1983) PTE LTD,112 EAST COAST ROAD
360,NTUC Fairprice Co-operative Ltd,6 MARINE PARADE CENTRAL
365,COLD STORAGE SINGAPORE (1983) PTE LTD,291 JOO CHIAT ROAD
366,COLD STORAGE SINGAPORE (1983) PTE LTD,56 MARINE TERRACE
367,NTUC Fairprice Co-operative Ltd,255 EAST COAST ROAD
370,COLD STORAGE SINGAPORE (1983) PTE LTD,1 HARBOURFRONT WALK
371,COLD STORAGE SINGAPORE (1983) PTE LTD,1 COVE AVENUE
372,COLD STORAGE SINGAPORE (1983) PTE LTD,31 OCEAN WAY
373,NTUC Fairprice Co-operative Ltd,460 ALEXANDRA ROAD
374,COLD STORAGE SINGAPORE (1983) PTE LTD,1 FUSIONOPOLIS WAY
375,NTUC Fairprice Co-operative Ltd,108 DEPOT ROAD
376,NTUC Fairprice Co-operative Ltd,78A TELOK BLANGAH STREET 32
377,COLD STORAGE SINGAPORE (1983) PTE LTD,1 MARITIME SQUARE
